id,value
category.Finance & Investments.Ken Fisher,6700
category.Finance & Investments.Christopher Hohn,6700
category.Manufacturing.Kjeld Kirk Kristiansen,6700
category.Manufacturing.Sofie Kirk Kristiansen,6700
category.Manufacturing.Thomas Kirk Kristiansen,6700
category.Healthcare.Massimiliana Landini Aleotti & family,6700
category.Automotive.Li Ping,6700
category.Manufacturing.Lin Jianhua,6700
category.Manufacturing.Magdalena Martullo-Blocher,6700
category.Telecom.Xavier Niel,6700
category.Energy.Terrence Pegula,6700
"category.Real Estate.Edward Roski, Jr․",6700
category.Real Estate.John A․ Sobrato & family,6700
category.Finance & Investments.George Soros,6700
category.Technology.David Sun,6700
category.Manufacturing.Agnete Kirk Thinggaard,6700
category.Technology.John Tu,6700
category.Food & Beverage.Xu Shihui,6700
category.Manufacturing.Rahel Blocher,6600
category.Food & Beverage.Bubba Cathy,6600
category.Food & Beverage.Dan Cathy,6600
category.Food & Beverage.Trudy Cathy White,6600
category.Finance & Investments.Bruce Kovner,6600
"category.Technology.Henry Nicholas, III․",6600
category.Finance & Investments.Nadia Thiele,6600
category.Finance & Investments.David Bonderman,6500
category.Technology.Melinda French Gates,6500
category.Fashion & Retail.Nathan Kirsh,6500
category.Real Estate.Annette Lerner & family,6500
category.Real Estate.David Reuben,6500
category.Diversified.Simon Reuben,6500
category.Real Estate.Radovan Vitek,6500
category.Finance & Investments.Carl Bennet,6400
category.Sports.Stephen Bisciotti,6400
category.Finance & Investments.Stanley Druckenmiller,6400
category.Healthcare.Jian Jun,6400
category.Energy.Alexei Kuzmichev,6400
category.Manufacturing.Dmitry Rybolovlev & family,6400
category.Finance & Investments.Luis Carlos Sarmiento,6400
category.Logistics.Dennis Washington,6400
category.Construction & Engineering.Anthony Bamford & family,6300
category.Energy.Gao Jifan & family,6300
category.Finance & Investments.John Grayken,6300
category.Healthcare.Alain Merieux & family,6300
category.Energy.Wang Yusuo & family,6300
category.Manufacturing.Stef Wertheimer & family,6300
category.Food & Beverage.Maria Asuncion Aramburuzabala & family,6200
category.Diversified.Gustaf Douglas,6200
category.Service.Frits Goldschmeding,6200
category.Food & Beverage.Lin Muqin & family,6200
category.Manufacturing.Ruan Liping,6200
category.Manufacturing.Ruan Xueping,6200
category.Finance & Investments.Michal Solowow,6200
category.Diversified.Mike Adenuga,6100
category.Finance & Investments.Tom Gores,6100
category.Fashion & Retail.Michael Herz,6100
category.Fashion & Retail.Wolfgang Herz,6100
category.Energy.Michael Kadoorie,6100
category.Telecom.Sunil Mittal,6100
category.Technology.Zhou Qunfei,6100
category.Metals & Mining.Alexander Abramov,6000
category.Real Estate.Rene Benko,6000
category.Real Estate.Neil Bluhm,6000
category.Fashion & Retail.Alain Bouchard,6000
category.Technology.Jay Chaudhry,6000
category.Fashion & Retail.Gopikishan Damani,6000
category.Diversified.Sumet Jiaravanon,6000
category.Finance & Investments.Joe Lewis,6000
category.Finance & Investments.Frank Lowy,6000
category.Finance & Investments.Michael Milken,6000
category.Technology.David Steward,6000
category.Fashion & Retail.Les Wexner & family,6000
category.Real Estate.Cai Kui,5900
category.Diversified.Jaran Chiaravanont,5900
category.Finance & Investments.Andreas Halvorsen,5900
category.Finance & Investments.Antony Ressler,5900
category.Food & Beverage.Tsai Eng-meng,5900
category.Finance & Investments.Josh Harris,5800
category.Healthcare.Niels Peter Louis-Hansen,5800
category.Healthcare.Patrick Soon-Shiong,5800
category.Metals & Mining.Rinat Akhmetov,5700
category.Healthcare.John Brown,5700
category.Media & Entertainment.Clive Calder,5700
category.Energy.Arthur Irving,5700
category.Real Estate.Fredrik Lundberg,5700
category.Construction & Engineering.Thomas Schmidheiny,5700
category.Logistics.Helmut Sohmen,5700
category.Finance & Investments.Daniel Ziff,5700
category.Finance & Investments.Dirk Ziff,5700
category.Finance & Investments.Robert Ziff,5700
category.Logistics.Maria Angelicoussis,5600
category.Energy.Ray Lee Hunt,5600
category.Logistics.Lai Meisong,5600
category.Automotive.Vikram Lal & family,5600
category.Finance & Investments.Ken Langone,5600
category.Healthcare.Li Ge,5600
category.Finance & Investments.Karen Pritzker,5600
category.Service.Robert Rowling,5600
category.Gambling & Casinos.Teddy Sagi,5600
category.Healthcare.Seo Jung-jin,5600
category.Automotive.Wu Jianshu,5600
category.Service.Micky Arison,5500
category.Media & Entertainment.James Chambers,5500
category.Technology.Pierre Chen,5500
category.Technology.John Collison,5500
category.Technology.Patrick Collison,5500
category.Manufacturing.Archie Aldis Emmerson & family,5500
category.Automotive.Piero Ferrari,5500
category.Automotive.Dan Friedkin,5500
category.Diversified.James Irving,5500
category.Manufacturing.Jiang Weiping & family,5500
category.Healthcare.Wolfgang Marguerre & family,5500
category.Finance & Investments.Ludwig Merckle,5500
category.Manufacturing.Mitchell Rales,5500
category.Media & Entertainment.Katharine Rayner,5500
category.Finance & Investments.Jean Salata,5500
category.Finance & Investments.Paul Singer,5500
category.Healthcare.Sergio Stevanato & family,5500
category.Media & Entertainment.Margaretta Taylor,5500
category.Technology.Richard White,5500
category.Diversified.Zhao Yan,5500
category.Fashion & Retail.Patrizio Bertelli,5400
category.Manufacturing.Mahendra Choksi & family,5400
category.Finance & Investments.Mat Ishbia,5400
category.Technology.Leo Koguan,5400
category.Diversified.Miao Hangen,5400
category.Manufacturing.Michael Pieper,5400
category.Fashion & Retail.Miuccia Prada,5400
category.Fashion & Retail.Wolfgang Reimann,5400
category.Fashion & Retail.Matthias Reimann-Andersen,5400
category.Fashion & Retail.Stefan Reimann-Andersen,5400
category.Fashion & Retail.Renate Reimann-Haas,5400
category.Finance & Investments.Todd Boehly,5300
category.Real Estate.Rick Caruso,5300
category.Manufacturing.Ibrahim Erdemoglu,5300
category.Finance & Investments.Elizabeth Johnson,5300
category.Finance & Investments.Douglas Leone,5300
category.Diversified.Prajogo Pangestu,5300
category.Finance & Investments.Thomas Pritzker,5300
category.Food & Beverage.Lynda Resnick,5300
category.Food & Beverage.Stewart Resnick,5300
category.Service.Gary Rollins,5300
category.Finance & Investments.Mark Walter,5300
category.Manufacturing.Ronald Wanek,5300
category.Food & Beverage.Erich Wesjohann & family,5300
category.Fashion & Retail.M․A․ Yusuff Ali,5300
category.Finance & Investments.Alexandre Behring,5200
category.Food & Beverage.Cheng Xue,5200
category.Real Estate.Robert Faith,5200
category.Fashion & Retail.Gao Dekang & family,5200
category.Fashion & Retail.Micky Jagtiani,5200
category.Telecom.Ananda Krishnan,5200
category.Technology.Barry Lam,5200
"category.Food & Beverage.Robert Rich, Jr․",5200
category.Gambling & Casinos.Mark Scheinberg,5200
category.Technology.Charles Simonyi,5200
category.Real Estate.Ty Warner,5200
category.Real Estate.Sam Zell,5200
category.Manufacturing.Fang Wei,5100
category.Finance & Investments.Rekha Jhunjhunwala,5100
category.Finance & Investments.Charles B․ Johnson,5100
category.Media & Entertainment.Kwon Hyuk-bin,5100
category.Finance & Investments.Sami Mnaymneh,5100
category.Logistics.Kjell Inge Rokke,5100
category.Finance & Investments.Tony Tamer,5100
category.Healthcare.Tse Ping & family,5100
category.Technology.Romesh T․ Wadhwani,5100
category.Healthcare.Hansjoerg Wyss,5100
category.Sports.Denise York & family,5100
category.Finance & Investments.Ron Baron,5000
category.Energy.Robert Bass,5000
category.Healthcare.Dona Bertarelli,5000
category.Finance & Investments.Alexander Gerko,5000
category.Technology.Martin Haefner,5000
"category.Telecom.Robert Hale, Jr․",5000
category.Healthcare.Viktor Kharitonin,5000
category.Technology.Kim Beom-su,5000
category.Fashion & Retail.Jane Lauder,5000
category.Fashion & Retail.Michel Leclercq & family,5000
category.Media & Entertainment.George Lucas,5000
category.Sports.Janice McNair,5000
category.Healthcare.Ugur Sahin,5000
category.Real Estate.Alexandra Schoerghuber & family,5000
